,Ori,Data2
1,nan,unknown
2,Afghan,Afghan
3,Uzbekistan,Uzbek
4,Chinese,Chinese
5,Japanese,Japanese
6,British/English,British
7,Kenyan,Kenyan
8,British,British
9,CAMBODIAN,Cambodian
10,filipino,Filipino
11,Bosnian/Herzegovinian,Bosnian
12,Taiwanese,Taiwanese
13,Turkcish,Turkish
14,Uruguayan,Uruguayan
15,Colombian,Colombian
16,British / Scottish,British/Scottish
17,Danish,Danish
18,Pakistani,Pakistani
19,GERMAN,German
20,African,African
21,Cambodia,Cambodian
22,Kuwaiti,Kuwaiti
23,Swaziland,Swaziland
24,Palestinian,Palestinian
25,Myanmar,Myanmar
26,Ivorian,Ivorian
27,Cypriot,Cypriot
28,Zambian,Zambian
29,Israeli,Israeli
30,Irish,Irish
31,Germen,German
32,Austrian,Austrian
33,สวีเดน,Swedish
34,Finnish,Finnish
35,SWISS,Swiss
36,Gambian,Gambian
37,other,Other
38,RUSSIAN,RUSSIAN
39,Thailand,Thailand
40,British / Welsh,British/Welsh
41,Croatian,Croatian
42,Guinean,Guinean
43,Estonian,Estonian
44,Philippines,Philippines
45,Slovak / Slovakian,Slovak
46,Turkish,Turkish
47,Cameroon,Cameroonian
48,Cambodian,Cambodian
49,Romanian,Romanian
50,Malaysian,Malaysian
51,Russian,Russian
52,Singaporean,Singaporean
53,Norwegian,Norwegian
54,irish,Irish
55,Fijian,Fijian
56,Swedish,Swedish
57,japanese,Japanese
58,Mexican,Mexican
59,Mongolian,Mongolian
60,UAE,United Arab Emirates
61,kuwaiti,Kuwaiti
62,Serbian,Serbian
63,American Samoa,American
64,ไม่ระบุ,unknown
65,French,French
66,North Korean,North Korean
67,Moroccan,Moroccan
68,Sudanese,Sudanese
69,Afghan / Afghani,Afghan
70,Chilean,Chilean
71,Qatari,Qatari
72,Bulgarian,Bulgarian
73,Ugandan,Ugandan
74,BRITISH,British
75,Peruvian,Peruvian
76,Latvian,Latvian
77,Azerbaijan,Azerbaijan
78,Czech,Czech
79,American,American
80,Syrian,Syrian
81,Eritrean,Eritrean
82,CZECH,Czech
83,Bruneian,Bruneian
84,Burmese,Burmese
85,british,British
86,Cuban,Cuban
87,Sri Lankan,Sri Lankan
88,China,Chinese
89,Luxembourgish,Luxembourgish
90,AUSTRALIAN,Australian
91,German,German
92,Portuguese,Portuguese
93,Tajik,Tajik
94,Tunisian,Tunisian
95,Ghanaian,Ghanaian
96,swiss,Swiss
97,Filipino,Filipino
98,Nigerian,Nigerian
99,Thai,Thailand
100,South African,South African
101,Georgian,Georgian
102,Australian,Australian
103,Yemeni / Yemenite,Yemeni
104,Belarusian,Belarusian
105,Bhutan,Bhutan
106,Bosnian,Bosnian
107,Italian,Italian
108,Laotian/Lao,Lao
109,Icelandic,Icelandic
110,Slovenian / Slovene,Slovenian
111,Nepalese / Nepali,Nepalese
112,indian,Indian
113,Liberian,Liberian
114,FILIPINO,Filipino
115,Austria,Austrian
116,United Kingdom,United Kingdom
117,Belgian,Belgian
118,Gremany,German
119,Canadian,Canadian
120,France,French
121,Mauritians,Mauritians
122,Uzbek,Uzbek
123,BAHRAINI,Bahraini
124,Albanian,Albanian
125,south african,South African
126,Laotian / Lao,Lao
127,Ethiopian,Ethiopian
128,Maldivian,Maldivian
129,chinese,Chinese
130,British / English,British
131,Armenian,Armenian
132,Namibian,Namibian
133,au,unknown
134,burmese,Burmese
135,Vietnamese,Vietnamese
136,cambodian,Cambodian
137,Phutan,Phutan
138,British / Northern Irish,British/Northern Irish
139,Polish,Polish
140,Bahraini,Bahraini
141,Kyrgyz,Kyrgyz
142,Dutch,Dutch
143,Lebanese,Lebanese
144,Zimbabwean,Zimbabwean
145,Lithuanian,Lithuanian
146,Iranian,Iranian
147,Maltese,Maltese
148,Bangladeshi,Bangladeshi
149,Algerian,Algerian
150,Indian,Indian
151,Swiss,Swiss
152,Greek,Greek
153,Trinidad and Tobago,Trinidadian
154,Kosovan,Kosovan
155,Hungarian,Hungarian
156,Other,unknown
157,\xa0Bulgarian,Bulgarian
158,Venezuelan,Venezuelan
159,Kazakh / Kazakhstani,Kazakh
160,Malian,Malian
161,Saudi Arabian,Saudi Arabian
162,Jordanian,Jordanian
163,Ecuadorian,Ecuadorian
164,Omani,Omani
165,Arabi,Arabi
166,Indonesian,Indonesian
167,Spanish,Spanish
168,Ukrainian,Ukrainian
169,South Korea,South Korean
170,Libyan,Libyan
171,Argentine / Argentinian,Argentinian
172,Korean,South Korean
173,Emirate,Emirati
174,Egyptian,Egyptian
175,Somali / Somalian,Somali
176,Laos,Lao
177,Iraqi,Iraqi
178,South Korean,South Korean
179,United Arab Emirates,United Arab Emirates
180,Emirati,Emirati
181,Brazilian,Brazilian
182,New Zealand,New Zealand
183,australian,Australian
